source_id,physical_watch_id,tilt_deg,angle_deg,n_edge_pixels,resid_vs_ticksonly_H_px,implied_canonical_radius_via_ticksonly_H
rep_arf_m304y61,rep_arf_m304y61,3.913,7.50,17,3.922,1.0146
rep_arf_m304y61,rep_arf_m304y61,3.913,15.00,14,3.038,1.0194
rep_arf_m304y61,rep_arf_m304y61,3.913,22.50,9,2.380,1.0071
rep_arf_m304y61,rep_arf_m304y61,3.913,30.00,24,2.204,1.0124
rep_arf_m304y61,rep_arf_m304y61,3.913,37.50,22,1.410,1.0151
rep_arf_m304y61,rep_arf_m304y61,3.913,45.00,29,0.526,1.0111
rep_arf_m304y61,rep_arf_m304y61,3.913,52.50,25,3.018,1.0209
rep_arf_m304y61,rep_arf_m304y61,3.913,60.00,26,2.774,1.0200
rep_arf_m304y61,rep_arf_m304y61,3.913,67.50,23,3.738,1.0230
rep_arf_m304y61,rep_arf_m304y61,3.913,75.00,21,0.924,1.0131
rep_arf_m304y61,rep_arf_m304y61,3.913,82.50,17,0.717,1.0080
rep_arf_m304y61,rep_arf_m304y61,3.913,90.00,8,4.804,1.0271
rep_arf_m304y61,rep_arf_m304y61,3.913,97.50,18,0.219,1.0093
rep_arf_m304y61,rep_arf_m304y61,3.913,105.00,13,2.096,1.0173
rep_arf_m304y61,rep_arf_m304y61,3.913,112.50,15,4.552,1.0007
rep_arf_m304y61,rep_arf_m304y61,3.913,120.00,16,1.674,1.0110
rep_arf_m304y61,rep_arf_m304y61,3.913,127.50,20,2.267,1.0073
rep_arf_m304y61,rep_arf_m304y61,3.913,135.00,21,1.506,1.0048
rep_arf_m304y61,rep_arf_m304y61,3.913,142.50,18,1.222,1.0093
rep_arf_m304y61,rep_arf_m304y61,3.913,150.00,20,1.339,1.0147
rep_arf_m304y61,rep_arf_m304y61,3.913,157.50,18,1.083,1.0125
rep_arf_m304y61,rep_arf_m304y61,3.913,165.00,8,4.341,1.0222
rep_arf_m304y61,rep_arf_m304y61,3.913,172.50,16,4.251,1.0130
rep_arf_m304y61,rep_arf_m304y61,3.913,180.00,10,0.518,1.0116
rep_arf_m304y61,rep_arf_m304y61,3.913,-172.50,24,2.573,1.0009
rep_arf_m304y61,rep_arf_m304y61,3.913,-165.00,14,1.835,1.0127
rep_arf_m304y61,rep_arf_m304y61,3.913,-157.50,14,1.135,1.0140
rep_arf_m304y61,rep_arf_m304y61,3.913,-150.00,13,1.535,1.0047
rep_arf_m304y61,rep_arf_m304y61,3.913,-142.50,12,1.609,1.0061
rep_arf_m304y61,rep_arf_m304y61,3.913,-135.00,10,0.720,1.0111
