marker,feature,n,median,mad,p10,p90,min,max
h06,axis_residual_deg,4,0.9058373809467923,0.7487043901847699,-0.0634793791356173,5.29578122308584,-0.3943979339820771,7.0926828130994295
h06,centre_r,4,0.6797727784347687,0.01218882644671121,0.6452610207716356,0.6937348358387685,0.6337941599389313,0.6963946822747015
h06,centre_t,4,0.0027651629551299663,0.002429274649517055,-0.0029526696706731383,0.005304303701173257,-0.004479765335359555,0.005469102845962611
h06,diameter_over_dial,4,0.1610533546215579,0.01895673607033388,0.12231211427690235,0.18235069287972525,0.11132525295808576,0.18586159616147546
h06,inner_r,4,0.557864365507998,0.0008079957029843432,0.5570505170338396,0.5608320176188673,0.5570417378770784,0.5617638554770759
h06,inner_t,4,0.011029835221061123,0.013845148336523283,-0.01350664384779372,0.028099929241043778,-0.021543941679642284,0.032937347766232826
h06,outer_r,4,0.801361806208823,0.014896644418409488,0.7309028309333162,0.816412884363094,0.7069249387061372,0.8166445349668863
h06,outer_t,4,-0.008211559275649052,0.0191787791446614,-0.033552352812330336,0.013351299917763477,-0.03874758760400078,0.016927419990890164
h06,radial_span,4,0.24234509387139969,0.014495928150820403,0.1727298990720597,0.25762515903518396,0.14826720942309002,0.25880136455462976
h06,segmentation_confidence,4,0.8555176473687043,0.048990720331147264,0.7959014486014001,0.9455890235904053,0.7799632309471647,0.9745794601536679
h07,angular_residual_deg,4,0.06301016492659528,0.09387597539961234,-0.04050053710278689,0.18595728757890556,-0.05495262704744164,0.20873927207624376
h07,anisotropy,4,1.2663631783908036,0.15038779294649607,1.0730175744443378,1.8829395462440917,1.008580857944383,2.12876087584697
h07,area_norm,4,0.016559567073048134,0.003058678792369568,0.013436066064197092,0.019954869907602715,0.013338832739474882,0.02016858972905501
h07,centre_r,4,0.745638430557749,0.016772280697310682,0.7224174910821843,0.805460610591243,0.7127445029148032,0.8308198447120223
h07,centre_t,4,0.0008227060586088741,0.0012632920682373039,-0.000583088849304414,0.0024188219138656765,-0.0007968431088183903,0.00271414229366973
h07,diameter_over_dial,4,0.14464356523258504,0.01353580174142821,0.13079300635090874,0.1593913957490633,0.13032087064053663,0.16024807644577915
h07,inner_r,4,0.6627796583587251,0.008231152846860434,0.6516579881751073,0.7176365505828363,0.6473222121699713,0.7407159931767551
h07,inner_t,4,0.0024050029531223482,0.0029400977894646074,-0.0011852016542547306,0.005665174065649332,-0.0018067545652126205,0.006145284050242894
h07,outer_r,4,0.8290731745732383,0.025937100930952972,0.7931831692409499,0.8656304392927157,0.7782538126389468,0.8808457642035141
